,Date,return,Y2,predicted,binary,ticker
97,2024-07-01,0.0286890768912434,1.0,0.5824870676457022,1,AAPL
98,2024-07-02,0.016109470331886984,1.0,0.5691502576670798,1,AAPL
99,2024-07-03,0.005794225427538552,1.0,0.617601828494941,1,AAPL
100,2024-07-05,0.02138996593803601,1.0,0.563683387852702,1,AAPL
101,2024-07-08,0.006517598262800098,1.0,0.5691502576670798,1,AAPL
102,2024-07-09,0.0037677387466135636,1.0,0.6121349586805632,1,AAPL
103,2024-07-10,0.018628980265788138,0.0,0.5544497147063409,1,AAPL
104,2024-07-11,-0.023494679077722437,1.0,0.5961039596082106,1,AAPL
105,2024-07-12,0.012966438494921347,1.0,0.5691502576670798,1,AAPL
106,2024-07-15,0.016604677613454705,1.0,0.5691502576670798,1,AAPL
107,2024-07-16,0.0017902627288764663,0.0,0.6322626380610971,1,AAPL
108,2024-07-17,-0.025621424317485365,0.0,0.5758998859543106,1,AAPL
109,2024-07-18,-0.02074860215356186,0.0,0.5338283064688165,1,AAPL
110,2024-07-19,0.0005797448740643955,0.0,0.5614520749312357,1,AAPL
111,2024-07-22,-0.001561518337194895,1.0,0.567343546362782,1,AAPL
112,2024-07-23,0.004677326789595036,0.0,0.5793299755001038,1,AAPL
113,2024-07-24,-0.02917578782711976,0.0,0.547832593443025,1,AAPL
114,2024-07-25,-0.004816135703784962,1.0,0.5839912718959115,1,AAPL
115,2024-07-26,0.0021586928007480827,0.0,0.5839912718959115,1,AAPL
116,2024-07-29,0.0012838093072819164,1.0,0.5565388586863799,1,AAPL
97,2024-07-01,0.021645671878020873,1.0,0.1683185825695561,0,MSFT
98,2024-07-02,0.005567612477786935,1.0,0.1696188162872928,0,MSFT
99,2024-07-03,0.003238936050717344,1.0,0.17130048954675328,0,MSFT
100,2024-07-05,0.014628698265744153,0.0,0.17652670848118684,0,MSFT
101,2024-07-08,-0.0028271754566299946,0.0,0.18596092809830378,0,MSFT
102,2024-07-09,-0.014474494317281709,1.0,0.11863212131059442,0,MSFT
103,2024-07-10,0.014495963213956669,0.0,0.05770864493818869,0,MSFT
104,2024-07-11,-0.02508408328071981,0.0,0.4217776956259762,0,MSFT
105,2024-07-12,-0.002532397530764042,0.0,0.40208222294897067,0,MSFT
106,2024-07-15,0.0009035794633242268,0.0,0.6661305556049233,1,MSFT
107,2024-07-16,-0.00982874724605526,0.0,0.8462251622505605,1,MSFT
108,2024-07-17,-0.013437450573088492,0.0,0.840694966085596,1,MSFT
109,2024-07-18,-0.007127600241447598,0.0,0.7547460828805861,1,MSFT
110,2024-07-19,-0.007430425393780849,1.0,0.6574582882916143,1,MSFT
111,2024-07-22,0.013249480048027173,1.0,0.5967639427138054,1,MSFT
112,2024-07-23,0.00430283420764586,0.0,0.828372967099785,1,MSFT
113,2024-07-24,-0.03651338311895819,0.0,0.6595037056718958,1,MSFT
114,2024-07-25,-0.02478587912924774,1.0,0.418160978743496,0,MSFT
115,2024-07-26,0.01628633733145043,1.0,0.42599894553460094,0,MSFT
116,2024-07-29,0.0034272849807710096,0.0,0.37400883840986066,0,MSFT
97,2024-07-01,0.0061330253896867285,0.0,0.6405497900999637,1,NVDA
98,2024-07-02,-0.01320021495022643,1.0,0.5926373478531957,1,NVDA
99,2024-07-03,0.044717557191037115,0.0,0.5237598647947638,1,NVDA
100,2024-07-05,-0.019283561153337122,1.0,0.39624745712840626,0,NVDA
101,2024-07-08,0.018659716526216393,1.0,0.4145260663223105,0,NVDA
102,2024-07-09,0.024502403947989197,1.0,0.3645646312005266,0,NVDA
103,2024-07-10,0.02651399196566244,0.0,0.32550877205699363,0,NVDA
104,2024-07-11,-0.057276161480423596,1.0,0.34891677161392604,0,NVDA
105,2024-07-12,0.014339428344752825,0.0,0.5194099272125817,1,NVDA
106,2024-07-15,-0.006209295230428465,0.0,0.46099662094489213,0,NVDA
107,2024-07-16,-0.01632690746531514,0.0,0.5030712597606164,1,NVDA
108,2024-07-17,-0.06853512375749839,1.0,0.5676258632520187,1,NVDA
109,2024-07-18,0.025934183516757067,0.0,0.609233523497363,1,NVDA
110,2024-07-19,-0.026442809833753283,1.0,0.5644381608267625,1,NVDA
111,2024-07-22,0.04647376698888053,0.0,0.609233523497363,1,NVDA
112,2024-07-23,-0.007719573444450259,0.0,0.560164517332217,1,NVDA
113,2024-07-24,-0.07045639445976531,0.0,0.5862595761062369,1,NVDA
114,2024-07-25,-0.017393289152587556,1.0,0.6578527139805591,1,NVDA
115,2024-07-26,0.006922889031518685,0.0,0.6617305491383462,1,NVDA
116,2024-07-29,-0.01308722227317673,0.0,0.6481991255460512,1,NVDA
97,2024-07-01,0.00581669609658813,1.0,0.47867651537822786,0,GOOG
98,2024-07-02,0.011425589571579383,1.0,0.44517509827557944,0,GOOG
99,2024-07-03,0.004171122514341655,1.0,0.41755117188296875,0,GOOG
100,2024-07-05,0.024095048634933624,0.0,0.21486004840694461,0,GOOG
101,2024-07-08,-0.007739872216753168,0.0,0.240225883596986,0,GOOG
102,2024-07-09,-0.00020998260249926171,1.0,0.2962641709147332,0,GOOG
103,2024-07-10,0.01158979919148672,0.0,0.1814932387439869,0,GOOG
104,2024-07-11,-0.02821537059415921,0.0,0.7194637415877824,1,GOOG
105,2024-07-12,-0.002780178597405286,1.0,0.7175626534968492,1,GOOG
106,2024-07-15,0.007520656603795156,0.0,0.6274436398198553,1,GOOG
107,2024-07-16,-0.014397221702364073,0.0,0.6655651927006907,1,GOOG
108,2024-07-17,-0.015647417596852255,0.0,0.7696465861940822,1,GOOG
109,2024-07-18,-0.01879335618336493,0.0,0.7547967505057218,1,GOOG
110,2024-07-19,0.0009480950413543982,1.0,0.6830093894516704,1,GOOG
111,2024-07-22,0.02183472449758465,0.0,0.585826191688954,1,GOOG
112,2024-07-23,0.001362583623727002,0.0,0.567375758568924,1,GOOG
113,2024-07-24,-0.051580061103131826,0.0,0.7366248594326179,1,GOOG
114,2024-07-25,-0.030334416073729012,0.0,0.8646715154572824,1,GOOG
115,2024-07-26,-0.0028416487955091677,1.0,0.8061881608314887,1,GOOG
116,2024-07-29,0.014420144664558685,1.0,0.8140387774905995,1,GOOG
97,2024-07-01,0.020233739225558187,1.0,0.264217991345196,0,AMZN
98,2024-07-02,0.01409893985494711,0.0,0.29431416298241964,0,AMZN
99,2024-07-03,-0.012123208336190894,1.0,0.3042457094278775,0,AMZN
100,2024-07-05,0.012123208336190851,0.0,0.33586428651905514,0,AMZN
101,2024-07-08,-0.0035563498917093785,0.0,0.32302909791227835,0,AMZN
102,2024-07-09,0.0002508745118109151,1.0,0.2673145709056874,0,AMZN
103,2024-07-10,0.0022548901390979956,0.0,0.2626755001621094,0,AMZN
104,2024-07-11,-0.02401082970854252,0.0,0.3144220552369584,0,AMZN
