,Date,ticker,predicted,return,top,strat
1,2024-07-02,WBD,0.666122515974022,0.0139862289158189,1,0.0
2,2024-07-03,WBD,0.5456821755584567,0.0041580392777204,1,0.0041580392777204
3,2024-07-05,WBD,0.47156784803898033,-0.0027700822210765,0,-0.0027700822210765
4,2024-07-08,WBD,0.37288451519457194,-0.0139666939941533,0,-0.0
5,2024-07-09,WBD,0.8028510367364947,0.0318366008214183,1,0.0
6,2024-07-10,WBD,0.4799135454099013,-0.0027285119907372,0,-0.0027285119907372
7,2024-07-11,WBD,0.5709527180821082,0.0081633026950527,0,0.0
8,2024-07-12,WBD,0.526553815371667,0.0027063589783342,0,0.0
9,2024-07-15,WBD,0.5222130476130612,0.002699054363877,0,0.0
10,2024-07-16,WBD,0.9369586651194358,0.0727593463903866,1,0.0
11,2024-07-17,WBD,0.8172462809378285,0.0417238043014565,1,0.0417238043014565
12,2024-07-18,WBD,0.7539566489321106,0.0237541764160182,1,0.0237541764160182
13,2024-07-19,WBD,0.6775271260632256,0.0174524050228601,1,0.0174524050228601
14,2024-07-22,WBD,0.35232760049372325,-0.0139374943353737,0,-0.0139374943353737
15,2024-07-23,WBD,0.5676509404426342,0.0081537661425533,1,0.0
16,2024-07-24,WBD,0.30023214692367306,-0.0175545312090068,0,-0.0175545312090068
17,2024-07-25,WBD,0.0,-0.0583398090582403,0,-0.0
18,2024-07-26,WBD,0.8204152951634356,0.0392689282306006,1,0.0
19,2024-07-29,WBD,0.681812204791931,0.0131501779525274,1,0.0131501779525274
20,2024-07-30,WBD,0.8386541020371239,0.0418665399184468,1,0.0418665399184468
22,2024-07-02,ODFL,0.6959056072319174,0.0192319019035518,1,0.0192319019035518
23,2024-07-03,ODFL,0.49853404167929166,-0.001648187700277,0,-0.001648187700277
24,2024-07-05,ODFL,0.5509823790237549,0.0049364358514021,1,0.0
25,2024-07-08,ODFL,0.41520031809772495,-0.0094001005791797,1,-0.0094001005791797
26,2024-07-09,ODFL,0.27754468009535743,-0.0147441616503513,0,-0.0147441616503513
27,2024-07-10,ODFL,0.7037215085044898,0.0205814907426382,1,0.0
28,2024-07-11,ODFL,0.7377842560134766,0.0251585570341593,1,0.0251585570341593
29,2024-07-12,ODFL,0.6828145531902413,0.0183569627817842,1,0.0183569627817842
30,2024-07-15,ODFL,0.71245339447748,0.0260994852482331,1,0.0260994852482331
31,2024-07-16,ODFL,0.7792809283009483,0.043054565698396,1,0.043054565698396
32,2024-07-17,ODFL,0.2199952229046706,-0.0256399010434409,0,-0.0256399010434409
33,2024-07-18,ODFL,0.25851946834628464,-0.0163396641150015,0,-0.0
34,2024-07-19,ODFL,0.5306018573534717,5.113195014580029e-05,1,0.0
35,2024-07-22,ODFL,0.5130110462303884,-0.0008188938612547,1,-0.0008188938612547
36,2024-07-23,ODFL,0.435948267576179,-0.0075033317459367,0,-0.0075033317459367
37,2024-07-24,ODFL,0.5232913111642381,0.0039642187021842,1,0.0
38,2024-07-25,ODFL,0.8109004630604797,0.05536986751806,1,0.05536986751806
39,2024-07-26,ODFL,0.3131317162237153,-0.0135577259264114,0,-0.0135577259264114
40,2024-07-29,ODFL,0.4252603927329436,-0.0070716745097981,0,-0.0
41,2024-07-30,ODFL,0.6884986422533121,0.0173669225544397,1,0.0
43,2024-07-02,CMCSA,0.4854982886709299,-0.0002620056547748,0,-0.0
44,2024-07-03,CMCSA,0.5667178024145735,0.0052701246871083,1,0.0
45,2024-07-05,CMCSA,0.4376935041170138,-0.0050059023542694,0,-0.0050059023542694
46,2024-07-08,CMCSA,0.33162111282652385,-0.0140978199254756,0,-0.0
47,2024-07-09,CMCSA,0.5665649160388246,0.0048101773696344,1,0.0
48,2024-07-10,CMCSA,0.4829475895818019,-0.0021349892770351,0,-0.0021349892770351
49,2024-07-11,CMCSA,0.6161197350891923,0.0085129456254558,0,0.0
50,2024-07-12,CMCSA,0.6420059370723163,0.0142033137045202,1,0.0
51,2024-07-15,CMCSA,0.6508537431466657,0.0168331752776519,1,0.0168331752776519
52,2024-07-16,CMCSA,0.646181695049157,0.0170596623656461,0,0.0170596623656461
53,2024-07-17,CMCSA,0.6612590253103741,0.0244401075672024,1,0.0
54,2024-07-18,CMCSA,0.32799832851515925,-0.0111484064474323,0,-0.0111484064474323
55,2024-07-19,CMCSA,0.46248949673092554,-0.0014958257010168,1,-0.0
56,2024-07-22,CMCSA,0.3118078529395726,-0.0138176560334347,0,-0.0138176560334347
57,2024-07-23,CMCSA,0.2508997235980023,-0.0261419421865735,0,-0.0
58,2024-07-24,CMCSA,0.317738679728357,-0.0109661197451016,0,-0.0
59,2024-07-25,CMCSA,0.531965023504228,0.003930347579664,0,0.0
60,2024-07-26,CMCSA,0.7082276315289082,0.0372171001183847,1,0.0
61,2024-07-29,CMCSA,0.6629789378798411,0.0246373464876774,1,0.0246373464876774
62,2024-07-30,CMCSA,0.518293875018516,0.0031906043863375,0,0.0031906043863375
64,2024-07-02,PYPL,0.6883704477434016,0.0198670658631869,1,0.0198670658631869
65,2024-07-03,PYPL,0.6025147212098805,0.0112976189497863,1,0.0112976189497863
