,Date,return,Y1,predicted,binary,ticker,top,strat
1,2024-07-02,0.013986229,0.004158039,0.01398638,0,WBD,1,0.0
2,2024-07-03,0.004158039,-0.002770082,0.004156975,0,WBD,1,0.004158039
3,2024-07-05,-0.002770082,-0.013966694,-0.002768655,0,WBD,0,-0.002770082
4,2024-07-08,-0.013966694,0.031836601,-0.013966182,0,WBD,0,-0.0
5,2024-07-09,0.031836601,-0.002728512,0.031837429,0,WBD,1,0.0
6,2024-07-10,-0.002728512,0.008163303,-0.002728223,0,WBD,0,-0.002728512
7,2024-07-11,0.008163303,0.002706359,0.008161747,0,WBD,0,0.0
8,2024-07-12,0.002706359,0.002699054,0.00270554,0,WBD,0,0.0
9,2024-07-15,0.002699054,0.072759346,0.002698857,0,WBD,0,0.0
10,2024-07-16,0.072759346,0.041723804,0.072763264,0,WBD,1,0.0
11,2024-07-17,0.041723804,0.023754176,0.041718122,0,WBD,1,0.041723804
12,2024-07-18,0.023754176,0.017452405,0.02375163,0,WBD,1,0.023754176
13,2024-07-19,0.017452405,-0.013937494,0.017452994,0,WBD,1,0.017452405
14,2024-07-22,-0.013937494,0.008153766,-0.013938102,0,WBD,0,-0.013937494
15,2024-07-23,0.008153766,-0.017554531,0.00815563,0,WBD,1,0.0
16,2024-07-24,-0.017554531,-0.058339809,-0.017553605,0,WBD,0,-0.017554531
17,2024-07-25,-0.058339809,0.039268928,-0.058338579,0,WBD,0,-0.0
18,2024-07-26,0.039268928,0.013150178,0.039269594,0,WBD,1,0.0
19,2024-07-29,0.013150178,0.04186654,0.013148983,0,WBD,1,0.013150178
20,2024-07-30,0.04186654,-0.0149171,0.041866068,0,WBD,1,0.04186654
22,2024-07-02,0.019231902,-0.001648188,0.019231903,0,ODFL,1,0.019231902
23,2024-07-03,-0.001648188,0.004936436,-0.001648187,0,ODFL,0,-0.001648188
24,2024-07-05,0.004936436,-0.009400101,0.004936437,0,ODFL,1,0.0
25,2024-07-08,-0.009400101,-0.014744162,-0.0094001,0,ODFL,0,-0.009400101
26,2024-07-09,-0.014744162,0.020581491,-0.014744161,0,ODFL,0,-0.0
27,2024-07-10,0.020581491,0.025158557,0.020581491,0,ODFL,1,0.0
28,2024-07-11,0.025158557,0.018356963,0.025158558,0,ODFL,1,0.025158557
29,2024-07-12,0.018356963,0.026099485,0.018356964,0,ODFL,1,0.018356963
30,2024-07-15,0.026099485,0.043054566,0.026099486,0,ODFL,1,0.026099485
31,2024-07-16,0.043054566,-0.025639901,0.043054567,0,ODFL,1,0.043054566
32,2024-07-17,-0.025639901,-0.016339664,-0.0256399,0,ODFL,0,-0.025639901
33,2024-07-18,-0.016339664,5.11e-05,-0.016339663,0,ODFL,0,-0.0
34,2024-07-19,5.11e-05,-0.000818894,5.11e-05,0,ODFL,1,0.0
35,2024-07-22,-0.000818894,-0.007503332,-0.000818893,0,ODFL,0,-0.000818894
36,2024-07-23,-0.007503332,0.003964219,-0.007503331,0,ODFL,0,-0.0
37,2024-07-24,0.003964219,0.055369868,0.00396422,0,ODFL,1,0.0
38,2024-07-25,0.055369868,-0.013557726,0.055369868,0,ODFL,1,0.055369868
39,2024-07-26,-0.013557726,-0.007071675,-0.013557725,0,ODFL,0,-0.013557726
40,2024-07-29,-0.007071675,0.017366923,-0.007071674,0,ODFL,0,-0.0
41,2024-07-30,0.017366923,0.024807968,0.017366924,0,ODFL,1,0.0
43,2024-07-02,-0.000262006,0.005270125,-0.000262005,0,CMCSA,0,-0.0
44,2024-07-03,0.005270125,-0.005005902,0.005270125,0,CMCSA,1,0.0
45,2024-07-05,-0.005005902,-0.01409782,-0.005005901,0,CMCSA,0,-0.005005902
46,2024-07-08,-0.01409782,0.004810177,-0.014097819,0,CMCSA,0,-0.0
47,2024-07-09,0.004810177,-0.002134989,0.004810178,0,CMCSA,1,0.0
48,2024-07-10,-0.002134989,0.008512946,-0.002134988,0,CMCSA,0,-0.002134989
49,2024-07-11,0.008512946,0.014203314,0.008512947,0,CMCSA,0,0.0
50,2024-07-12,0.014203314,0.016833175,0.014203315,0,CMCSA,1,0.0
51,2024-07-15,0.016833175,0.017059662,0.016833176,0,CMCSA,1,0.016833175
52,2024-07-16,0.017059662,0.024440108,0.017059663,0,CMCSA,0,0.017059662
