Date,return,Y1,predicted_mean,binary,ticker
1/07/2024,-0.046776086,0.013986229,-0.046779017,0,WBD
2/07/2024,0.013986229,0.004158039,0.01398638,0,WBD
3/07/2024,0.004158039,-0.002770082,0.004156975,0,WBD
5/07/2024,-0.002770082,-0.013966694,-0.002768655,0,WBD
8/07/2024,-0.013966694,0.031836601,-0.013966182,0,WBD
9/07/2024,0.031836601,-0.002728512,0.031837429,0,WBD
10/07/2024,-0.002728512,0.008163303,-0.002728223,0,WBD
11/07/2024,0.008163303,0.002706359,0.008161747,0,WBD
12/07/2024,0.002706359,0.002699054,0.00270554,0,WBD
15/07/2024,0.002699054,0.072759346,0.002698857,0,WBD
16/07/2024,0.072759346,0.041723804,0.072763264,0,WBD
17/07/2024,0.041723804,0.023754176,0.041718122,0,WBD
18/07/2024,0.023754176,0.017452405,0.02375163,0,WBD
19/07/2024,0.017452405,-0.013937494,0.017452994,0,WBD
22/07/2024,-0.013937494,0.008153766,-0.013938102,0,WBD
23/07/2024,0.008153766,-0.017554531,0.00815563,0,WBD
24/07/2024,-0.017554531,-0.058339809,-0.017553605,0,WBD
25/07/2024,-0.058339809,0.039268928,-0.058338579,0,WBD
26/07/2024,0.039268928,0.013150178,0.039269594,0,WBD
29/07/2024,0.013150178,0.04186654,0.013148983,0,WBD
30/07/2024,0.04186654,-0.0149171,0.041866068,0,WBD
1/07/2024,0.011821082,0.019231902,0.011821083,0,ODFL
2/07/2024,0.019231902,-0.001648188,0.019231903,0,ODFL
3/07/2024,-0.001648188,0.004936436,-0.001648187,0,ODFL
5/07/2024,0.004936436,-0.009400101,0.004936437,0,ODFL
8/07/2024,-0.009400101,-0.014744162,-0.0094001,0,ODFL
9/07/2024,-0.014744162,0.020581491,-0.014744161,0,ODFL
10/07/2024,0.020581491,0.025158557,0.020581491,0,ODFL
11/07/2024,0.025158557,0.018356963,0.025158558,0,ODFL
12/07/2024,0.018356963,0.026099485,0.018356964,0,ODFL
15/07/2024,0.026099485,0.043054566,0.026099486,0,ODFL
16/07/2024,0.043054566,-0.025639901,0.043054567,0,ODFL
17/07/2024,-0.025639901,-0.016339664,-0.0256399,0,ODFL
18/07/2024,-0.016339664,5.11E-05,-0.016339663,0,ODFL
19/07/2024,5.11E-05,-0.000818894,5.11E-05,0,ODFL
22/07/2024,-0.000818894,-0.007503332,-0.000818893,0,ODFL
23/07/2024,-0.007503332,0.003964219,-0.007503331,0,ODFL
24/07/2024,0.003964219,0.055369868,0.00396422,0,ODFL
25/07/2024,0.055369868,-0.013557726,0.055369868,0,ODFL
26/07/2024,-0.013557726,-0.007071675,-0.013557725,0,ODFL
29/07/2024,-0.007071675,0.017366923,-0.007071674,0,ODFL
30/07/2024,0.017366923,0.024807968,0.017366924,0,ODFL
1/07/2024,-0.025606023,-0.000262006,-0.025606022,0,CMCSA
2/07/2024,-0.000262006,0.005270125,-0.000262005,0,CMCSA
3/07/2024,0.005270125,-0.005005902,0.005270125,0,CMCSA
5/07/2024,-0.005005902,-0.01409782,-0.005005901,0,CMCSA
8/07/2024,-0.01409782,0.004810177,-0.014097819,0,CMCSA
9/07/2024,0.004810177,-0.002134989,0.004810178,0,CMCSA
10/07/2024,-0.002134989,0.008512946,-0.002134988,0,CMCSA
11/07/2024,0.008512946,0.014203314,0.008512947,0,CMCSA
12/07/2024,0.014203314,0.016833175,0.014203315,0,CMCSA
15/07/2024,0.016833175,0.017059662,0.016833176,0,CMCSA
16/07/2024,0.017059662,0.024440108,0.017059663,0,CMCSA
17/07/2024,0.024440108,-0.011148406,0.024440109,0,CMCSA
18/07/2024,-0.011148406,-0.001495826,-0.011148405,0,CMCSA
19/07/2024,-0.001495826,-0.013817656,-0.001495825,0,CMCSA
22/07/2024,-0.013817656,-0.026141942,-0.013817655,0,CMCSA
23/07/2024,-0.026141942,-0.01096612,-0.026141941,0,CMCSA
24/07/2024,-0.01096612,0.003930348,-0.010966119,0,CMCSA
25/07/2024,0.003930348,0.0372171,0.003930349,0,CMCSA
26/07/2024,0.0372171,0.024637346,0.037217101,0,CMCSA
29/07/2024,0.024637346,0.003190604,0.024637348,0,CMCSA
30/07/2024,0.003190604,0.011208672,0.003190606,0,CMCSA
1/07/2024,-0.003798302,0.019867066,-0.003800969,0,PYPL
2/07/2024,0.019867066,0.011297619,0.019864296,0,PYPL
3/07/2024,0.011297619,0.002010033,0.011294813,0,PYPL
5/07/2024,0.002010033,-0.011274805,0.002007199,0,PYPL
8/07/2024,-0.011274805,-0.001524264,-0.01127764,0,PYPL
9/07/2024,-0.001524264,-0.001696327,-0.001527197,0,PYPL
10/07/2024,-0.001696327,0.018336793,-0.001699381,0,PYPL
11/07/2024,0.018336793,0.004656565,0.018333785,0,PYPL
12/07/2024,0.004656565,0.003312919,0.004653524,0,PYPL
15/07/2024,0.003312919,0.021917791,0.00330974,0,PYPL
16/07/2024,0.021917791,-0.009264588,0.02191455,0,PYPL
17/07/2024,-0.009264588,-0.020456036,-0.009267819,0,PYPL
18/07/2024,-0.020456036,-0.011229451,-0.020459338,0,PYPL
19/07/2024,-0.011229451,0.023981143,-0.01123286,0,PYPL
22/07/2024,0.023981143,-0.017596758,0.023977694,0,PYPL
23/07/2024,-0.017596758,-0.027850321,-0.017600238,0,PYPL
24/07/2024,-0.027850321,-0.014745665,-0.027853805,0,PYPL
25/07/2024,-0.014745665,0.018527059,-0.014749251,0,PYPL
26/07/2024,0.018527059,0.011089386,0.018523349,0,PYPL
29/07/2024,0.011089386,0.082363129,0.011085718,0,PYPL
30/07/2024,0.082363129,0.027432739,0.082359425,0,PYPL
1/07/2024,-0.011236092,0.004384579,-0.011236106,0,KHC
2/07/2024,0.004384579,0.002808557,0.004384567,0,KHC
3/07/2024,0.002808557,0,0.002808546,0,KHC
5/07/2024,0,0.000311523,-9.54E-09,0,KHC
8/07/2024,0.000311523,-0.005309966,0.000311514,0,KHC
9/07/2024,-0.005309966,-0.000313241,-0.005309965,0,KHC
10/07/2024,-0.000313241,0.008112376,-0.00031325,0,KHC
11/07/2024,0.008112376,-0.003424147,0.008112357,0,KHC
12/07/2024,-0.003424147,0.006836609,-0.003424164,0,KHC
15/07/2024,0.006836609,0.016889676,0.006836593,0,KHC
16/07/2024,0.016889676,0.03176777,0.016889662,0,KHC
17/07/2024,0.03176777,-0.003842211,0.031767757,0,KHC
18/07/2024,-0.003842211,-0.019435551,-0.003842223,0,KHC
19/07/2024,-0.019435551,-0.009099221,-0.019435561,0,KHC
22/07/2024,-0.009099221,-0.000609584,-0.009099229,0,KHC
23/07/2024,-0.000609584,0.007593051,-0.000609591,0,KHC
24/07/2024,0.007593051,0.007235536,0.007593045,0,KHC
25/07/2024,0.007235536,0.002100517,0.007235541,0,KHC
26/07/2024,0.002100517,0.001796873,0.002100512,0,KHC
29/07/2024,0.001796873,0.012489071,0.001796858,0,KHC
30/07/2024,0.012489071,0.039686568,0.012489057,0,KHC
1/07/2024,0.000437141,-0.003502599,0.000437136,0,GILD
2/07/2024,-0.003502599,-0.026818486,-0.003502604,0,GILD
3/07/2024,-0.026818486,0.001500692,-0.026818491,0,GILD
5/07/2024,0.001500692,0.012813056,0.001500687,0,GILD
8/07/2024,0.012813056,0.003103972,0.012813051,0,GILD
9/07/2024,0.003103972,0.014504655,0.003103966,0,GILD
10/07/2024,0.014504655,0.01758986,0.014504649,0,GILD
11/07/2024,0.01758986,-0.000142959,0.017589854,0,GILD
12/07/2024,-0.000142959,0.012076562,-0.000142965,0,GILD
15/07/2024,0.012076562,0.011653369,0.012076557,0,GILD
16/07/2024,0.011653369,0.022907082,0.011653364,0,GILD
17/07/2024,0.022907082,0.00286083,0.022907076,0,GILD
18/07/2024,0.00286083,-0.013007708,0.002860824,0,GILD
19/07/2024,-0.013007708,-0.00206931,-0.013007714,0,GILD
22/07/2024,-0.00206931,-0.017273106,-0.002069316,0,GILD
23/07/2024,-0.017273106,0.032214051,-0.017273112,0,GILD
24/07/2024,0.032214051,0.040136073,0.032214045,0,GILD
25/07/2024,0.040136073,0.006513832,0.040136066,0,GILD
26/07/2024,0.006513832,0.009306015,0.006513826,0,GILD
29/07/2024,0.009306015,0.00410836,0.009306009,0,GILD
30/07/2024,0.00410836,-0.025827216,0.004108353,0,GILD
1/07/2024,-0.021534113,0.000917527,-0.02153411,0,GEHC
2/07/2024,0.000917527,0.011851378,0.000917529,0,GEHC
3/07/2024,0.011851378,-0.002333196,0.01185138,0,GEHC
5/07/2024,-0.002333196,-0.009256244,-0.002333194,0,GEHC
8/07/2024,-0.009256244,0.006787732,-0.009256242,0,GEHC
9/07/2024,0.006787732,0.029102633,0.006787732,0,GEHC
10/07/2024,0.029102633,0.010058037,0.029102632,0,GEHC
11/07/2024,0.010058037,0.004244078,0.01005804,0,GEHC
12/07/2024,0.004244078,-0.001121695,0.004244081,0,GEHC
15/07/2024,-0.001121695,0.030094965,-0.001121692,0,GEHC
16/07/2024,0.030094965,-0.002059143,0.030094968,0,GEHC
17/07/2024,-0.002059143,-0.018232386,-0.00205914,0,GEHC
18/07/2024,-0.018232386,-0.006320141,-0.018232383,0,GEHC
19/07/2024,-0.006320141,0.009773083,-0.006320139,0,GEHC
22/07/2024,0.009773083,-0.005060223,0.009773085,0,GEHC
23/07/2024,-0.005060223,-0.014080318,-0.005060221,0,GEHC
24/07/2024,-0.014080318,0.002881973,-0.014080317,0,GEHC
25/07/2024,0.002881973,0.007231073,0.002881973,0,GEHC
26/07/2024,0.007231073,0.01907167,0.007231072,0,GEHC
29/07/2024,0.01907167,0.007285988,0.019071674,0,GEHC
30/07/2024,0.007285988,0.023673938,0.007285991,0,GEHC
1/07/2024,-0.012006824,0.010732944,-0.012006825,0,FAST
2/07/2024,0.010732944,-0.001116016,0.010732944,0,FAST
3/07/2024,-0.001116016,0.007469311,-0.001116017,0,FAST
5/07/2024,0.007469311,-0.005238523,0.007469311,0,FAST
8/07/2024,-0.005238523,-0.004306559,-0.005238524,0,FAST
9/07/2024,-0.004306559,0.015071191,-0.00430656,0,FAST
10/07/2024,0.015071191,0.01033844,0.01507119,0,FAST
11/07/2024,0.01033844,0.019598011,0.010338439,0,FAST
12/07/2024,0.019598011,0.035870878,0.019598011,0,FAST
15/07/2024,0.035870878,0.017536487,0.035870878,0,FAST
16/07/2024,0.017536487,0.013811234,0.017536486,0,FAST
17/07/2024,0.013811234,-0.01671269,0.013811233,0,FAST
18/07/2024,-0.01671269,-0.01375096,-0.016712691,0,FAST
19/07/2024,-0.01375096,0.005728104,-0.013750961,0,FAST
22/07/2024,0.005728104,-0.005580741,0.005728104,0,FAST
23/07/2024,-0.005580741,-0.008727361,-0.005580742,0,FAST
24/07/2024,-0.008727361,0.025666918,-0.008727362,0,FAST
25/07/2024,0.025666918,0.024454679,0.025666917,0,FAST
26/07/2024,0.024454679,0.005950686,0.024454678,0,FAST
29/07/2024,0.005950686,0.001411611,0.005950685,0,FAST
30/07/2024,0.001411611,-0.001976835,0.00141161,0,FAST
1/07/2024,-0.006561129,-0.007180844,-0.006561127,0,BKR
