Date,return,Y1,predicted_Y1,binary,ticker,pTradeRate,tTradeBool
2024-07-01,-0.04677608592068534,0.013986228915818986,-0.037008123974239734,0,WBD,0.0,0.013986228915818986
2024-07-02,0.013986228915818986,0.0041580392777204826,0.01852536902318272,0,WBD,0.0041580392777204826,0.0041580392777204826
2024-07-03,0.0041580392777204826,-0.0027700822210765625,0.005866043089234245,0,WBD,-0.0027700822210765625,0.0
2024-07-05,-0.0027700822210765625,-0.013966693994153347,-0.001462619072814374,0,WBD,0.0,0.0
2024-07-08,-0.013966693994153347,0.0318366008214183,-0.010181123999188729,0,WBD,0.0,0.0318366008214183
2024-07-09,0.0318366008214183,-0.0027285119907372265,0.02937580798949175,0,WBD,-0.0027285119907372265,0.0
2024-07-10,-0.0027285119907372265,0.008163302695052716,-0.00024834474147181044,0,WBD,0.0,0.008163302695052716
2024-07-11,0.008163302695052716,0.0027063589783342767,0.0075002832715755285,0,WBD,0.0027063589783342767,0.0027063589783342767
2024-07-12,0.0027063589783342767,0.0026990543638770567,0.003797785888501634,0,WBD,0.0026990543638770567,0.0026990543638770567
2024-07-15,0.0026990543638770567,0.0727593463903866,0.003158669119411348,0,WBD,0.0727593463903866,0.0727593463903866
2024-07-16,0.0727593463903866,0.04172380430145655,0.02769830773285703,0,WBD,0.04172380430145655,0.04172380430145655
2024-07-17,0.04172380430145655,0.023754176416018274,0.02630861122883335,0,WBD,0.023754176416018274,0.023754176416018274
2024-07-18,0.023754176416018274,0.017452405022860128,0.026391233052491886,0,WBD,0.017452405022860128,0.017452405022860128
2024-07-19,0.017452405022860128,-0.013937494335373736,0.01838994655478745,0,WBD,-0.013937494335373736,0.0
2024-07-22,-0.013937494335373736,0.008153766142553375,-0.013239263730629345,0,WBD,0.0,0.008153766142553375
2024-07-23,0.008153766142553375,-0.01755453120900686,0.007014686928117336,0,WBD,-0.01755453120900686,0.0
2024-07-24,-0.01755453120900686,-0.058339809058240356,-0.019049620618015566,0,WBD,0.0,0.0
2024-07-25,-0.058339809058240356,0.03926892823060066,-0.042040279376151686,0,WBD,0.0,0.03926892823060066
2024-07-26,0.03926892823060066,0.013150177952527485,0.028065971228325118,0,WBD,0.013150177952527485,0.013150177952527485
2024-07-29,0.013150177952527485,0.041866539918446875,0.021288727586170033,0,WBD,0.041866539918446875,0.041866539918446875
2024-07-30,0.041866539918446875,-0.014917100390480303,0.029400114715940992,0,WBD,-0.014917100390480303,0.0
2024-07-01,0.01182108235673156,0.019231901903551802,0.013026693196055122,0,ODFL,0.019231901903551802,0.019231901903551802
2024-07-02,0.019231901903551802,-0.0016481877002770726,0.020174899183961842,0,ODFL,-0.0016481877002770726,0.0
2024-07-03,-0.0016481877002770726,0.004936435851402196,0.001940122852052663,0,ODFL,0.004936435851402196,0.004936435851402196
2024-07-05,0.004936435851402196,-0.009400100579179775,0.006240631884678779,0,ODFL,-0.009400100579179775,0.0
2024-07-08,-0.009400100579179775,-0.014744161650351396,-0.006318715316941614,0,ODFL,0.0,0.0
2024-07-09,-0.014744161650351396,0.020581490742638254,-0.02388648940226267,0,ODFL,0.0,0.020581490742638254
2024-07-10,0.020581490742638254,0.025158557034159333,0.020621976415818963,0,ODFL,0.025158557034159333,0.025158557034159333
2024-07-11,0.025158557034159333,0.018356962781784256,0.023256774917518472,0,ODFL,0.018356962781784256,0.018356962781784256
2024-07-12,0.018356962781784256,0.02609948524823316,0.018697138685613242,0,ODFL,0.02609948524823316,0.02609948524823316
2024-07-15,0.02609948524823316,0.043054565698396045,0.01901161154343383,0,ODFL,0.043054565698396045,0.043054565698396045
2024-07-16,0.043054565698396045,-0.025639901043440938,0.019984877190525767,0,ODFL,-0.025639901043440938,0.0
2024-07-17,-0.025639901043440938,-0.016339664115001575,-0.026674067917981895,0,ODFL,0.0,0.0
2024-07-18,-0.016339664115001575,5.1131950145800284e-05,-0.025863680492578492,0,ODFL,0.0,5.1131950145800284e-05
