Date,return,Y1,predicted_Y1,binary,pTradeRate,tTradeBool,
26/07/2024,-0.002841649,0.014420145,-0.001439179,0,0,0.014420145,0.014420145
29/07/2024,0.014420145,0.004256665,0.019195591,0,0.004256665,0.004256665,0
1/07/2024,0.020233739,0.01409894,0.022411522,0,0.01409894,0.01409894,0
2/07/2024,0.01409894,-0.012123208,0.025860138,0,-0.012123208,0,0.012123208
3/07/2024,-0.012123208,0.012123208,-0.015594978,0,0,0.012123208,0.012123208
5/07/2024,0.012123208,-0.00355635,0.011427467,0,-0.00355635,0,0.00355635
8/07/2024,-0.00355635,0.000250875,-0.003054101,0,0,0.000250875,0.000250875
9/07/2024,0.000250875,0.00225489,0.00060884,0,0.00225489,0.00225489,0
10/07/2024,0.00225489,-0.02401083,0.00193747,0,-0.02401083,0,0.02401083
11/07/2024,-0.02401083,-0.002875175,-0.015007462,0,0,0,0
12/07/2024,-0.002875175,-0.009142411,-0.002375971,0,0,0,0
15/07/2024,-0.009142411,0.001555468,-0.008149732,0,0,0.001555468,0.001555468
16/07/2024,0.001555468,-0.026724319,0.001635622,0,-0.026724319,0,0.026724319
17/07/2024,-0.026724319,-0.022493376,-0.016505942,0,0,0,0
18/07/2024,-0.022493376,-0.003379828,-0.016505942,0,0,0,0
19/07/2024,-0.003379828,-0.003172185,-0.00137275,0,0,0,0
22/07/2024,-0.003172185,0.020924444,-0.002366662,0,0,0.020924444,0.020924444
23/07/2024,0.020924444,-0.030391195,0.025860138,0,-0.030391195,0,0.030391195
24/07/2024,-0.030391195,-0.005434169,-0.014788751,0,0,0,0
25/07/2024,-0.005434169,0.014626969,-0.004831297,0,0,0.014626969,0.014626969
26/07/2024,0.014626969,0.003828263,0.022403899,0,0.003828263,0.003828263,0
29/07/2024,0.003828263,-0.008166389,0.00430377,0,-0.008166389,0,0.008166389
1/07/2024,-0.028260738,0.041123777,-0.037703669,0,0,0.041123777,0.041123777
2/07/2024,0.041123777,-0.002498424,0.037198082,0,-0.002498424,0,0.002498424
3/07/2024,-0.002498424,0.047656428,-0.001259373,0,0,0.047656428,0.047656428
5/07/2024,0.047656428,0.038739598,0.03874248,0,0.038739598,0.038739598,0
8/07/2024,0.038739598,-0.008937895,0.039194246,0,-0.008937895,0,0.008937895
9/07/2024,-0.008937895,0.0380038,-0.005842987,0,0,0.0380038,0.0380038
10/07/2024,0.0380038,-0.011041403,0.046427191,0,-0.011041403,0,0.011041403
11/07/2024,-0.011041403,-0.001815442,-0.009987998,0,0,0,0
12/07/2024,-0.001815442,-0.009849564,-0.002093058,0,0,0,0
15/07/2024,-0.009849564,-0.012759694,-0.008710905,0,0,0,0
16/07/2024,-0.012759694,-0.107647368,-0.011638334,0,0,0,0
17/07/2024,-0.107647368,-0.023224321,-0.043660686,0,0,0,0
18/07/2024,-0.023224321,-0.027267037,-0.045760018,0,0,0,0
19/07/2024,-0.027267037,0.027908745,-0.037939263,0,0,0.027908745,0.027908745
22/07/2024,0.027908745,-0.012069693,0.034454451,0,-0.012069693,0,0.012069693
23/07/2024,-0.012069693,-0.062773812,-0.014623819,0,0,0,0
24/07/2024,-0.062773812,-0.044608897,-0.038355365,0,0,0,0
25/07/2024,-0.044608897,0.012001136,-0.037764456,0,0,0.012001136,0.012001136
26/07/2024,0.012001136,-0.001715919,0.010403523,0,-0.001715919,0,0.001715919
29/07/2024,-0.001715919,-0.009418076,-0.002364246,0,0,0,0
1/07/2024,-0.005256544,0.003887986,-0.005251962,0,0,0.003887986,0.003887986
2/07/2024,0.003887986,-0.000685069,0.003872659,0,-0.000685069,0,0.000685069
3/07/2024,-0.000685069,0.003420401,-0.000622016,0,0,0.003420401,0.003420401
5/07/2024,0.003420401,-0.008572951,0.002986666,0,-0.008572951,0,0.008572951
8/07/2024,-0.008572951,0.006636201,-0.01265275,0,0,0.006636201,0.006636201
9/07/2024,0.006636201,0.0063658,0.005858689,0,0.0063658,0.0063658,0
10/07/2024,0.0063658,0.028925981,0.005858689,0,0.028925981,0.028925981,0
11/07/2024,0.028925981,0.001320162,0.016815469,0,0.001320162,0.001320162,0
12/07/2024,0.001320162,-0.000219864,0.001167544,0,-0.000219864,0,0.000219864
15/07/2024,-0.000219864,0.00995682,-0.000809593,0,0,0.00995682,0.00995682
16/07/2024,0.00995682,0.018018486,0.011605397,0,0.018018486,0.018018486,0
17/07/2024,0.018018486,-0.000320825,0.016850127,0,-0.000320825,0,0.000320825
18/07/2024,-0.000320825,-0.003750725,-0.000452212,0,0,0,0
19/07/2024,-0.003750725,0.012907525,-0.003799357,0,0,0.012907525,0.012907525
22/07/2024,0.012907525,-0.00755362,0.016835482,0,-0.00755362,0,0.00755362
