,Date,ticker,predicted,return,top,strat
1,2024-07-02,AAPL,0.7636636391096014,0.0161094703318867,1,0.0161094703318867
2,2024-07-03,AAPL,0.6855867171431239,0.0057942254275385,0,0.0057942254275385
3,2024-07-05,AAPL,0.7417473809052526,0.0213899659380362,1,0.0
4,2024-07-08,AAPL,0.6784216394817312,0.0065175982627998,1,0.0065175982627998
5,2024-07-09,AAPL,0.649392802614221,0.0037677387466135,1,0.0037677387466135
6,2024-07-10,AAPL,0.7250111102119601,0.0186289802657879,1,0.0186289802657879
7,2024-07-11,AAPL,0.5207597731201405,-0.0234946790777223,1,-0.0234946790777223
8,2024-07-12,AAPL,0.6962134802087724,0.0129664384949213,1,0.0129664384949213
9,2024-07-15,AAPL,0.7102143826545176,0.0166046776134547,1,0.0166046776134547
10,2024-07-16,AAPL,0.6277215236757105,0.0017902627288762,1,0.0017902627288762
11,2024-07-17,AAPL,0.5019637534005461,-0.0256214243174853,1,-0.0256214243174853
12,2024-07-18,AAPL,0.4843176495240571,-0.0207486021535618,0,-0.0207486021535618
13,2024-07-19,AAPL,0.5797729104584323,0.0005797448740641,1,0.0
14,2024-07-22,AAPL,0.5913078049468545,-0.0015615183371947,0,-0.0015615183371947
15,2024-07-23,AAPL,0.636948484150472,0.0046773267895952,0,0.0
16,2024-07-24,AAPL,0.4986815066991961,-0.0291757878271198,1,-0.0
17,2024-07-25,AAPL,0.5692445625416149,-0.0048161357037848,1,-0.0048161357037848
18,2024-07-26,AAPL,0.6194490636072547,0.0021586928007478,0,0.0021586928007478
19,2024-07-29,AAPL,0.6038284934699311,0.0012838093072819,0,0.0
20,2024-07-30,AAPL,0.6236523036724284,0.0025626846701438,1,0.0
22,2024-07-02,MSFT,0.6785027363604403,0.0055676124777869,0,0.0055676124777869
23,2024-07-03,MSFT,0.6598346785608289,0.0032389360507173,0,0.0
24,2024-07-05,MSFT,0.7285557114918566,0.0146286982657441,0,0.0
25,2024-07-08,MSFT,0.6245854604508208,-0.0028271754566299,0,-0.0
26,2024-07-09,MSFT,0.5370963653136206,-0.0144744943172817,0,-0.0
27,2024-07-10,MSFT,0.7224442912587008,0.0144959632139566,1,0.0
28,2024-07-11,MSFT,0.5089418056882109,-0.0250840832807196,1,-0.0250840832807196
29,2024-07-12,MSFT,0.5975944043509256,-0.002532397530764,0,-0.002532397530764
30,2024-07-15,MSFT,0.6435185384932528,0.0009035794633242,1,0.0
31,2024-07-16,MSFT,0.5423499257478692,-0.0098287472460552,0,-0.0098287472460552
32,2024-07-17,MSFT,0.5400566957999715,-0.0134374505730884,1,-0.0
33,2024-07-18,MSFT,0.5570006263378928,-0.0071276002414475,1,-0.0071276002414475
34,2024-07-19,MSFT,0.5582618879781485,-0.0074304253937808,0,-0.0074304253937808
35,2024-07-22,MSFT,0.7392736746292226,0.0132494800480273,0,0.0
36,2024-07-23,MSFT,0.680121322774808,0.0043028342076456,0,0.0
37,2024-07-24,MSFT,0.5162758836472586,-0.0365133831189581,1,-0.0
38,2024-07-25,MSFT,0.5216452435090277,-0.0247858791292477,0,-0.0247858791292477
39,2024-07-26,MSFT,0.7347372052488871,0.0162863373314504,1,0.0
40,2024-07-29,MSFT,0.6700006310442649,0.003427284980771,1,0.003427284980771
41,2024-07-30,MSFT,0.5509271425002797,-0.0089684528607992,1,-0.0089684528607992
43,2024-07-02,NVDA,0.5522958561975014,-0.0132002149502262,0,-0.0
44,2024-07-03,NVDA,0.9381678878593853,0.0447175571910371,1,0.0
45,2024-07-05,NVDA,0.5468927671109414,-0.0192835611533372,0,-0.0192835611533372
46,2024-07-08,NVDA,0.8091719836631648,0.0186597165262163,1,0.0
47,2024-07-09,NVDA,0.8847947146398699,0.0245024039479891,1,0.0245024039479891
48,2024-07-10,NVDA,0.880256990647651,0.0265139919656624,1,0.0265139919656624
