,Date,return,Y1,predicted,binary,ticker,pTradeRate,tTradeBool,top,strat
1,2024-07-02,0.0161094703318867,0.0057942254275385,0.0170637071356203,0,AAPL,0.0057942254275385,0.0057942254275385,1,0.0161094703318867
2,2024-07-03,0.0057942254275385,0.0213899659380362,0.0058329862145319,0,AAPL,0.0213899659380362,0.0213899659380362,0,0.0057942254275385
3,2024-07-05,0.0213899659380362,0.0065175982627998,0.0154821820633771,0,AAPL,0.0065175982627998,0.0065175982627998,0,0.0
4,2024-07-08,0.0065175982627998,0.0037677387466135,0.0066235855376098,0,AAPL,0.0037677387466135,0.0037677387466135,1,0.0
5,2024-07-09,0.0037677387466135,0.0186289802657879,0.0042533074260041,0,AAPL,0.0186289802657879,0.0186289802657879,1,0.0037677387466135
6,2024-07-10,0.0186289802657879,-0.0234946790777223,0.0155282127676339,0,AAPL,-0.0234946790777223,0.0,1,0.0186289802657879
7,2024-07-11,-0.0234946790777223,0.0129664384949213,-0.0121489218586535,0,AAPL,0.0,0.0129664384949213,0,-0.0234946790777223
8,2024-07-12,0.0129664384949213,0.0166046776134547,0.0151791496540886,0,AAPL,0.0166046776134547,0.0166046776134547,1,0.0
9,2024-07-15,0.0166046776134547,0.0017902627288762,0.015463018161407,0,AAPL,0.0017902627288762,0.0017902627288762,1,0.0166046776134547
10,2024-07-16,0.0017902627288762,-0.0256214243174853,0.0035255647404976,0,AAPL,-0.0256214243174853,0.0,1,0.0017902627288762
11,2024-07-17,-0.0256214243174853,-0.0207486021535618,-0.0150775612008474,0,AAPL,0.0,0.0,0,-0.0256214243174853
12,2024-07-18,-0.0207486021535618,0.0005797448740641,-0.0162501975550309,0,AAPL,0.0,0.0005797448740641,0,-0.0
13,2024-07-19,0.0005797448740641,-0.0015615183371947,-0.0027170144979019,0,AAPL,0.0,0.0,0,0.0
14,2024-07-22,-0.0015615183371947,0.0046773267895952,-0.0044263628752854,0,AAPL,0.0,0.0046773267895952,0,-0.0
15,2024-07-23,0.0046773267895952,-0.0291757878271198,0.002324395010581,0,AAPL,-0.0291757878271198,0.0,0,0.0
16,2024-07-24,-0.0291757878271198,-0.0048161357037848,-0.0151160261022263,0,AAPL,0.0,0.0,0,-0.0
17,2024-07-25,-0.0048161357037848,0.0021586928007478,-0.0069354406576613,0,AAPL,0.0,0.0021586928007478,0,-0.0
18,2024-07-26,0.0021586928007478,0.0012838093072819,-0.0001451287455186,0,AAPL,0.0,0.0012838093072819,0,0.0
19,2024-07-29,0.0012838093072819,0.0025626846701438,-0.0024259708420983,0,AAPL,0.0,0.0025626846701438,0,0.0
20,2024-07-30,0.0025626846701438,0.0148796010679316,0.000944937386127,0,AAPL,0.0148796010679316,0.0148796010679316,1,0.0
22,2024-07-02,0.0055676124777869,0.0032389360507173,0.0049074735356504,0,MSFT,0.0032389360507173,0.0032389360507173,0,0.0055676124777869
23,2024-07-03,0.0032389360507173,0.0146286982657441,0.0030191878720381,0,MSFT,0.0146286982657441,0.0146286982657441,0,0.0
